hum,mq,ts,temp,gas_norm,rolling_mean_10,rolling_std_10,gas_diff,gas_diff_norm,hum_adjusted_gas,temp_hum,temp_gas,hum_gas
59,225,1309,21,0.1814516129032258,231.3,5.271516754112509,-8.0,-0.0343347624749029,357.74999999999994,1239,4725,13275
59,223,1314,21,0.17983870967741936,231.0,5.67646212197547,-2.0,-0.008888888493827178,354.57,1239,4683,13157
59,224,1319,21,0.18064516129032257,230.7,5.982381539896044,1.0,0.004484304731645528,356.15999999999997,1239,4704,13216
59,237,1325,21,0.19112903225806452,230.6,5.853773711604057,13.0,0.0580357116948343,376.83,1239,4977,13983
59,236,1330,21,0.19032258064516128,230.2,5.245103536738929,-1.0,-0.004219409104666282,375.23999999999995,1239,4956,13924
59,231,1335,21,0.18629032258064515,230.0,5.163977794943235,-5.0,-0.021186439780235603,367.28999999999996,1239,4851,13629
59,226,1341,21,0.18225806451612903,229.7,5.313504806936143,-5.0,-0.02164502070800776,359.34,1239,4746,13334
59,227,1346,21,0.18306451612903227,228.9,5.021066730398169,1.0,0.004424778565275285,360.92999999999995,1239,4767,13393
59,234,1351,21,0.18870967741935485,229.6,5.21109926556343,7.0,0.03083700304682806,372.05999999999995,1239,4914,13806
59,233,1356,21,0.1879032258064516,229.6,5.21109926556343,-1.0,-0.004273504090875894,370.46999999999997,1239,4893,13747
59,225,1362,21,0.1814516129032258,229.6,5.21109926556343,-8.0,-0.0343347624749029,357.74999999999994,1239,4725,13275
59,227,1367,21,0.18306451612903227,230.0,4.7842333648024535,2.0,0.008888888493827178,360.92999999999995,1239,4767,13393
59,227,1372,21,0.18306451612903227,230.3,4.448470398787539,0.0,0.0,360.92999999999995,1239,4767,13393
59,227,1377,21,0.18306451612903227,229.3,3.860051813123787,0.0,0.0,360.92999999999995,1239,4767,13393
59,224,1383,21,0.18064516129032257,228.1,3.381321240777597,-3.0,-0.013215858448640597,356.15999999999997,1239,4704,13216
59,222,1388,21,0.17903225806451614,227.2,3.7058512292500216,-2.0,-0.008928571029974507,352.97999999999996,1239,4662,13098
59,225,1393,21,0.1814516129032258,227.1,3.7549966711037954,3.0,0.013513512904796715,357.74999999999994,1239,4725,13275
59,231,1399,21,0.18629032258064515,227.5,3.951089863709964,6.0,0.026666665481481534,367.28999999999996,1239,4851,13629
59,224,1404,21,0.18064516129032257,226.5,3.3416562759606774,-7.0,-0.030303028991210866,356.15999999999997,1239,4704,13216
59,223,1409,21,0.17983870967741936,225.5,2.5927248643508514,-1.0,-0.0044642855149872535,354.57,1239,4683,13157
59,225,1414,21,0.1814516129032258,225.5,2.5927248643508514,2.0,0.008968609463291055,357.74999999999994,1239,4725,13275
59,219,1420,21,0.17661290322580644,224.7,3.2335051500742376,-6.0,-0.026666665481481534,348.21,1239,4599,12921
59,228,1425,21,0.18387096774193548,224.8,3.326659986633397,9.0,0.04109588853443431,362.52,1239,4788,13452
59,227,1430,21,0.18306451612903227,224.8,3.326659986633397,-1.0,-0.004385964719913828,360.92999999999995,1239,4767,13393
59,228,1435,21,0.18387096774193548,225.2,3.457680661304126,1.0,0.004405286149546866,362.52,1239,4788,13452
59,227,1441,21,0.18306451612903227,225.7,3.301514803843973,-1.0,-0.004385964719913828,360.92999999999995,1239,4767,13393
59,234,1446,21,0.18870967741935485,226.6,4.195235392680696,7.0,0.03083700304682806,372.05999999999995,1239,4914,13806
59,219,1451,21,0.17661290322580644,225.4,4.501851470969211,-15.0,-0.0641025613631384,348.21,1239,4599,12921
59,221,1457,21,0.1782258064516129,225.1,4.701063709417373,2.0,0.009132419674318736,351.39,1239,4641,13039
59,225,1462,21,0.1814516129032258,225.3,4.643992535164937,4.0,0.018099546692328203,357.74999999999994,1239,4725,13275
59,230,1467,21,0.18548387096774194,225.8,4.871686908385454,5.0,0.022222221234567945,365.7,1239,4830,13570
59,233,1472,21,0.1879032258064516,227.2,4.709328803319893,3.0,0.01304347769376184,370.46999999999997,1239,4893,13747
59,231,1478,21,0.18629032258064515,227.5,4.859126579037804,-2.0,-0.008583690618725725,367.28999999999996,1239,4851,13629
59,230,1483,21,0.18548387096774194,227.8,4.917090377222918,-1.0,-0.0043290041416015525,365.7,1239,4830,13570
59,232,1488,21,0.1870967741935484,228.2,5.094659513211446,2.0,0.008695651795841227,368.88,1239,4872,13688
59,229,1493,21,0.18467741935483872,228.4,5.081557066709228,-3.0,-0.012931033925386469,364.10999999999996,1239,4809,13511
59,229,1499,21,0.18467741935483872,227.9,4.701063709417309,0.0,0.0,364.10999999999996,1239,4809,13511
59,224,1504,21,0.18064516129032257,228.4,3.8355066303047076,-5.0,-0.02183406018191877,356.15999999999997,1239,4704,13216
59,224,1509,21,0.18064516129032257,228.7,3.2676869155073507,0.0,0.0,356.15999999999997,1239,4704,13216
59,225,1515,21,0.1814516129032258,228.7,3.2676869155073507,1.0,0.0044642855149872535,357.74999999999994,1239,4725,13275
59,233,1520,21,0.1879032258064516,229.0,3.5276684147527946,8.0,0.03555555397530871,370.46999999999997,1239,4893,13747
59,219,1525,21,0.17661290322580644,227.6,4.427188724235796,-14.0,-0.06008583433108007,348.21,1239,4599,12921
